DateTime,Junction,Vehicles,Year,month,Week,Day,Hour,Minute,DayOfWeek,IsWeekend,Season,NomJourFerie
2015-11-01 00:00:00,1,0.07821229050279331,2015,11,44,1,0,0,6,1,3,10
2015-11-01 01:00:00,1,0.06703910614525141,2015,11,44,1,1,0,6,1,3,10
2015-11-01 02:00:00,1,0.05027932960893855,2015,11,44,1,2,0,6,1,3,10
2015-11-01 03:00:00,1,0.0335195530726257,2015,11,44,1,3,0,6,1,3,10
2015-11-01 04:00:00,1,0.0446927374301676,2015,11,44,1,4,0,6,1,3,10
2015-11-01 05:00:00,1,0.027932960893854747,2015,11,44,1,5,0,6,1,3,10
2015-11-01 06:00:00,1,0.0446927374301676,2015,11,44,1,6,0,6,1,3,10
2015-11-01 07:00:00,1,0.03910614525139665,2015,11,44,1,7,0,6,1,3,10
2015-11-01 08:00:00,1,0.0558659217877095,2015,11,44,1,8,0,6,1,3,10
2015-11-01 09:00:00,1,0.061452513966480445,2015,11,44,1,9,0,6,1,3,10
2015-11-01 10:00:00,1,0.07821229050279331,2015,11,44,1,10,0,6,1,3,10
2015-11-01 11:00:00,1,0.0893854748603352,2015,11,44,1,11,0,6,1,3,10
2015-11-01 12:00:00,1,0.08379888268156425,2015,11,44,1,12,0,6,1,3,10
2015-11-01 13:00:00,1,0.07821229050279331,2015,11,44,1,13,0,6,1,3,10
2015-11-01 14:00:00,1,0.08379888268156425,2015,11,44,1,14,0,6,1,3,10
2015-11-01 15:00:00,1,0.061452513966480445,2015,11,44,1,15,0,6,1,3,10
2015-11-01 16:00:00,1,0.061452513966480445,2015,11,44,1,16,0,6,1,3,10
2015-11-01 17:00:00,1,0.08379888268156425,2015,11,44,1,17,0,6,1,3,10
2015-11-01 18:00:00,1,0.0893854748603352,2015,11,44,1,18,0,6,1,3,10
2015-11-01 19:00:00,1,0.10614525139664806,2015,11,44,1,19,0,6,1,3,10
2015-11-01 20:00:00,1,0.0893854748603352,2015,11,44,1,20,0,6,1,3,10
2015-11-01 21:00:00,1,0.1005586592178771,2015,11,44,1,21,0,6,1,3,10
2015-11-01 22:00:00,1,0.10614525139664806,2015,11,44,1,22,0,6,1,3,10
2015-11-01 23:00:00,1,0.07821229050279331,2015,11,44,1,23,0,6,1,3,10
2015-11-02 00:00:00,1,0.07262569832402235,2015,11,45,2,0,0,0,0,3,11
2015-11-02 01:00:00,1,0.061452513966480445,2015,11,45,2,1,0,0,0,3,11
2015-11-02 02:00:00,1,0.07262569832402235,2015,11,45,2,2,0,0,0,3,11
2015-11-02 03:00:00,1,0.061452513966480445,2015,11,45,2,3,0,0,0,3,11
2015-11-02 04:00:00,1,0.061452513966480445,2015,11,45,2,4,0,0,0,3,11
2015-11-02 05:00:00,1,0.0558659217877095,2015,11,45,2,5,0,0,0,3,11
2015-11-02 06:00:00,1,0.06703910614525141,2015,11,45,2,6,0,0,0,3,11
2015-11-02 07:00:00,1,0.07262569832402235,2015,11,45,2,7,0,0,0,3,11
2015-11-02 08:00:00,1,0.061452513966480445,2015,11,45,2,8,0,0,0,3,11
2015-11-02 09:00:00,1,0.11731843575418996,2015,11,45,2,9,0,0,0,3,11
2015-11-02 10:00:00,1,0.17318435754189945,2015,11,45,2,10,0,0,0,3,11
2015-11-02 11:00:00,1,0.1675977653631285,2015,11,45,2,11,0,0,0,3,11
2015-11-02 12:00:00,1,0.1899441340782123,2015,11,45,2,12,0,0,0,3,11
2015-11-02 13:00:00,1,0.13966480446927376,2015,11,45,2,13,0,0,0,3,11
2015-11-02 14:00:00,1,0.18435754189944134,2015,11,45,2,14,0,0,0,3,11
2015-11-02 15:00:00,1,0.16201117318435757,2015,11,45,2,15,0,0,0,3,11
2015-11-02 16:00:00,1,0.1452513966480447,2015,11,45,2,16,0,0,0,3,11
2015-11-02 17:00:00,1,0.1452513966480447,2015,11,45,2,17,0,0,0,3,11
2015-11-02 18:00:00,1,0.12849162011173185,2015,11,45,2,18,0,0,0,3,11
2015-11-02 19:00:00,1,0.13966480446927376,2015,11,45,2,19,0,0,0,3,11
2015-11-02 20:00:00,1,0.1564245810055866,2015,11,45,2,20,0,0,0,3,11
2015-11-02 21:00:00,1,0.17318435754189945,2015,11,45,2,21,0,0,0,3,11
2015-11-02 22:00:00,1,0.16201117318435757,2015,11,45,2,22,0,0,0,3,11
2015-11-02 23:00:00,1,0.1452513966480447,2015,11,45,2,23,0,0,0,3,11
2015-11-03 00:00:00,1,0.111731843575419,2015,11,45,3,0,0,1,0,3,11
2015-11-03 01:00:00,1,0.09497206703910616,2015,11,45,3,1,0,1,0,3,11
2015-11-03 02:00:00,1,0.1005586592178771,2015,11,45,3,2,0,1,0,3,11
2015-11-03 03:00:00,1,0.06703910614525141,2015,11,45,3,3,0,1,0,3,11
2015-11-03 04:00:00,1,0.0558659217877095,2015,11,45,3,4,0,1,0,3,11
2015-11-03 05:00:00,1,0.0558659217877095,2015,11,45,3,5,0,1,0,3,11
2015-11-03 06:00:00,1,0.0558659217877095,2015,11,45,3,6,0,1,0,3,11
2015-11-03 07:00:00,1,0.07262569832402235,2015,11,45,3,7,0,1,0,3,11
2015-11-03 08:00:00,1,0.07821229050279331,2015,11,45,3,8,0,1,0,3,11
2015-11-03 09:00:00,1,0.1564245810055866,2015,11,45,3,9,0,1,0,3,11
2015-11-03 10:00:00,1,0.1787709497206704,2015,11,45,3,10,0,1,0,3,11
2015-11-03 11:00:00,1,0.17318435754189945,2015,11,45,3,11,0,1,0,3,11
2015-11-03 12:00:00,1,0.17318435754189945,2015,11,45,3,12,0,1,0,3,11
2015-11-03 13:00:00,1,0.1564245810055866,2015,11,45,3,13,0,1,0,3,11
2015-11-03 14:00:00,1,0.1452513966480447,2015,11,45,3,14,0,1,0,3,11
2015-11-03 15:00:00,1,0.13966480446927376,2015,11,45,3,15,0,1,0,3,11
2015-11-03 16:00:00,1,0.15083798882681565,2015,11,45,3,16,0,1,0,3,11
2015-11-03 17:00:00,1,0.13966480446927376,2015,11,45,3,17,0,1,0,3,11
2015-11-03 18:00:00,1,0.1340782122905028,2015,11,45,3,18,0,1,0,3,11
2015-11-03 19:00:00,1,0.1564245810055866,2015,11,45,3,19,0,1,0,3,11
2015-11-03 20:00:00,1,0.13966480446927376,2015,11,45,3,20,0,1,0,3,11
2015-11-03 21:00:00,1,0.12849162011173185,2015,11,45,3,21,0,1,0,3,11
2015-11-03 22:00:00,1,0.1340782122905028,2015,11,45,3,22,0,1,0,3,11
2015-11-03 23:00:00,1,0.10614525139664806,2015,11,45,3,23,0,1,0,3,11
2015-11-04 00:00:00,1,0.09497206703910616,2015,11,45,4,0,0,2,0,3,11
2015-11-04 01:00:00,1,0.09497206703910616,2015,11,45,4,1,0,2,0,3,11
2015-11-04 02:00:00,1,0.06703910614525141,2015,11,45,4,2,0,2,0,3,11
2015-11-04 03:00:00,1,0.06703910614525141,2015,11,45,4,3,0,2,0,3,11
2015-11-04 04:00:00,1,0.05027932960893855,2015,11,45,4,4,0,2,0,3,11
2015-11-04 05:00:00,1,0.061452513966480445,2015,11,45,4,5,0,2,0,3,11
2015-11-04 06:00:00,1,0.06703910614525141,2015,11,45,4,6,0,2,0,3,11
2015-11-04 07:00:00,1,0.0558659217877095,2015,11,45,4,7,0,2,0,3,11
2015-11-04 08:00:00,1,0.06703910614525141,2015,11,45,4,8,0,2,0,3,11
2015-11-04 09:00:00,1,0.11731843575418996,2015,11,45,4,9,0,2,0,3,11
2015-11-04 10:00:00,1,0.13966480446927376,2015,11,45,4,10,0,2,0,3,11
2015-11-04 11:00:00,1,0.1452513966480447,2015,11,45,4,11,0,2,0,3,11
2015-11-04 12:00:00,1,0.1675977653631285,2015,11,45,4,12,0,2,0,3,11
2015-11-04 13:00:00,1,0.12849162011173185,2015,11,45,4,13,0,2,0,3,11
2015-11-04 14:00:00,1,0.1229050279329609,2015,11,45,4,14,0,2,0,3,11
2015-11-04 15:00:00,1,0.13966480446927376,2015,11,45,4,15,0,2,0,3,11
2015-11-04 16:00:00,1,0.13966480446927376,2015,11,45,4,16,0,2,0,3,11
2015-11-04 17:00:00,1,0.12849162011173185,2015,11,45,4,17,0,2,0,3,11
2015-11-04 18:00:00,1,0.1229050279329609,2015,11,45,4,18,0,2,0,3,11
2015-11-04 19:00:00,1,0.1340782122905028,2015,11,45,4,19,0,2,0,3,11
2015-11-04 20:00:00,1,0.13966480446927376,2015,11,45,4,20,0,2,0,3,11
2015-11-04 21:00:00,1,0.12849162011173185,2015,11,45,4,21,0,2,0,3,11
2015-11-04 22:00:00,1,0.13966480446927376,2015,11,45,4,22,0,2,0,3,11
2015-11-04 23:00:00,1,0.12849162011173185,2015,11,45,4,23,0,2,0,3,11
2015-11-05 00:00:00,1,0.1005586592178771,2015,11,45,5,0,0,3,0,3,11
2015-11-05 01:00:00,1,0.10614525139664806,2015,11,45,5,1,0,3,0,3,11
2015-11-05 02:00:00,1,0.09497206703910616,2015,11,45,5,2,0,3,0,3,11
2015-11-05 03:00:00,1,0.06703910614525141,2015,11,45,5,3,0,3,0,3,11
2015-11-05 04:00:00,1,0.06703910614525141,2015,11,45,5,4,0,3,0,3,11
2015-11-05 05:00:00,1,0.0446927374301676,2015,11,45,5,5,0,3,0,3,11
2015-11-05 06:00:00,1,0.061452513966480445,2015,11,45,5,6,0,3,0,3,11
2015-11-05 07:00:00,1,0.061452513966480445,2015,11,45,5,7,0,3,0,3,11
2015-11-05 08:00:00,1,0.07821229050279331,2015,11,45,5,8,0,3,0,3,11
2015-11-05 09:00:00,1,0.08379888268156425,2015,11,45,5,9,0,3,0,3,11
2015-11-05 10:00:00,1,0.1229050279329609,2015,11,45,5,10,0,3,0,3,11
2015-11-05 11:00:00,1,0.12849162011173185,2015,11,45,5,11,0,3,0,3,11
2015-11-05 12:00:00,1,0.1340782122905028,2015,11,45,5,12,0,3,0,3,11
2015-11-05 13:00:00,1,0.12849162011173185,2015,11,45,5,13,0,3,0,3,11
2015-11-05 14:00:00,1,0.13966480446927376,2015,11,45,5,14,0,3,0,3,11
2015-11-05 15:00:00,1,0.11731843575418996,2015,11,45,5,15,0,3,0,3,11
2015-11-05 16:00:00,1,0.10614525139664806,2015,11,45,5,16,0,3,0,3,11
2015-11-05 17:00:00,1,0.10614525139664806,2015,11,45,5,17,0,3,0,3,11
2015-11-05 18:00:00,1,0.11731843575418996,2015,11,45,5,18,0,3,0,3,11
2015-11-05 19:00:00,1,0.13966480446927376,2015,11,45,5,19,0,3,0,3,11
2015-11-05 20:00:00,1,0.11731843575418996,2015,11,45,5,20,0,3,0,3,11
2015-11-05 21:00:00,1,0.111731843575419,2015,11,45,5,21,0,3,0,3,11
2015-11-05 22:00:00,1,0.111731843575419,2015,11,45,5,22,0,3,0,3,11
2015-11-05 23:00:00,1,0.111731843575419,2015,11,45,5,23,0,3,0,3,11
2015-11-06 00:00:00,1,0.08379888268156425,2015,11,45,6,0,0,4,0,3,11
2015-11-06 01:00:00,1,0.09497206703910616,2015,11,45,6,1,0,4,0,3,11
2015-11-06 02:00:00,1,0.1005586592178771,2015,11,45,6,2,0,4,0,3,11
2015-11-06 03:00:00,1,0.07262569832402235,2015,11,45,6,3,0,4,0,3,11
2015-11-06 04:00:00,1,0.061452513966480445,2015,11,45,6,4,0,4,0,3,11
2015-11-06 05:00:00,1,0.06703910614525141,2015,11,45,6,5,0,4,0,3,11
2015-11-06 06:00:00,1,0.07262569832402235,2015,11,45,6,6,0,4,0,3,11
2015-11-06 07:00:00,1,0.07262569832402235,2015,11,45,6,7,0,4,0,3,11
2015-11-06 08:00:00,1,0.06703910614525141,2015,11,45,6,8,0,4,0,3,11
2015-11-06 09:00:00,1,0.10614525139664806,2015,11,45,6,9,0,4,0,3,11
2015-11-06 10:00:00,1,0.11731843575418996,2015,11,45,6,10,0,4,0,3,11
2015-11-06 11:00:00,1,0.13966480446927376,2015,11,45,6,11,0,4,0,3,11
2015-11-06 12:00:00,1,0.13966480446927376,2015,11,45,6,12,0,4,0,3,11
2015-11-06 13:00:00,1,0.111731843575419,2015,11,45,6,13,0,4,0,3,11
2015-11-06 14:00:00,1,0.1229050279329609,2015,11,45,6,14,0,4,0,3,11
2015-11-06 15:00:00,1,0.1229050279329609,2015,11,45,6,15,0,4,0,3,11
2015-11-06 16:00:00,1,0.1005586592178771,2015,11,45,6,16,0,4,0,3,11
2015-11-06 17:00:00,1,0.1005586592178771,2015,11,45,6,17,0,4,0,3,11
2015-11-06 18:00:00,1,0.10614525139664806,2015,11,45,6,18,0,4,0,3,11
2015-11-06 19:00:00,1,0.12849162011173185,2015,11,45,6,19,0,4,0,3,11
2015-11-06 20:00:00,1,0.09497206703910616,2015,11,45,6,20,0,4,0,3,11
2015-11-06 21:00:00,1,0.1005586592178771,2015,11,45,6,21,0,4,0,3,11
2015-11-06 22:00:00,1,0.08379888268156425,2015,11,45,6,22,0,4,0,3,11
2015-11-06 23:00:00,1,0.0893854748603352,2015,11,45,6,23,0,4,0,3,11
2015-11-07 00:00:00,1,0.08379888268156425,2015,11,45,7,0,0,5,1,3,11
2015-11-07 01:00:00,1,0.08379888268156425,2015,11,45,7,1,0,5,1,3,11
2015-11-07 02:00:00,1,0.05027932960893855,2015,11,45,7,2,0,5,1,3,11
2015-11-07 03:00:00,1,0.0446927374301676,2015,11,45,7,3,0,5,1,3,11
2015-11-07 04:00:00,1,0.03910614525139665,2015,11,45,7,4,0,5,1,3,11
2015-11-07 05:00:00,1,0.0335195530726257,2015,11,45,7,5,0,5,1,3,11
2015-11-07 06:00:00,1,0.0446927374301676,2015,11,45,7,6,0,5,1,3,11
2015-11-07 07:00:00,1,0.03910614525139665,2015,11,45,7,7,0,5,1,3,11
2015-11-07 08:00:00,1,0.061452513966480445,2015,11,45,7,8,0,5,1,3,11
2015-11-07 09:00:00,1,0.06703910614525141,2015,11,45,7,9,0,5,1,3,11
2015-11-07 10:00:00,1,0.0893854748603352,2015,11,45,7,10,0,5,1,3,11
2015-11-07 11:00:00,1,0.07262569832402235,2015,11,45,7,11,0,5,1,3,11
2015-11-07 12:00:00,1,0.07262569832402235,2015,11,45,7,12,0,5,1,3,11
2015-11-07 13:00:00,1,0.07262569832402235,2015,11,45,7,13,0,5,1,3,11
2015-11-07 14:00:00,1,0.07262569832402235,2015,11,45,7,14,0,5,1,3,11
2015-11-07 15:00:00,1,0.0558659217877095,2015,11,45,7,15,0,5,1,3,11
2015-11-07 16:00:00,1,0.07821229050279331,2015,11,45,7,16,0,5,1,3,11
2015-11-07 17:00:00,1,0.06703910614525141,2015,11,45,7,17,0,5,1,3,11
2015-11-07 18:00:00,1,0.061452513966480445,2015,11,45,7,18,0,5,1,3,11
2015-11-07 19:00:00,1,0.0893854748603352,2015,11,45,7,19,0,5,1,3,11
2015-11-07 20:00:00,1,0.09497206703910616,2015,11,45,7,20,0,5,1,3,11
2015-11-07 21:00:00,1,0.0893854748603352,2015,11,45,7,21,0,5,1,3,11
2015-11-07 22:00:00,1,0.08379888268156425,2015,11,45,7,22,0,5,1,3,11
2015-11-07 23:00:00,1,0.07821229050279331,2015,11,45,7,23,0,5,1,3,11
